Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
INFY,EQ,19-Oct-18,705.35,687,687.7,678,683.5,683.55,682.35,10421001,7110757251,245258,6658247,63.89
INFY,EQ,22-Oct-18,683.55,688.7,695.05,673.8,680.5,679.95,679.08,6672840,4531381462,118989,4592757,68.83
INFY,EQ,23-Oct-18,679.95,675.95,682,653.3,663.05,657.6,663.77,9041701,6001591448,206699,6249984,69.12
INFY,EQ,24-Oct-18,657.6,663,666.5,647.15,650,649.8,653.45,7058164,4612127164,151398,4319821,61.2
INFY,EQ,25-Oct-18,649.8,643,656.35,636.25,647.3,648.75,647.53,8270469,5355339309,196622,5315499,64.27
INFY,EQ,26-Oct-18,648.75,645.3,648.7,629.9,634.05,633.6,636.49,5464141,3477864472,111447,3187130,58.33
INFY,EQ,29-Oct-18,633.6,633.7,650.55,631.5,646.1,644.75,637.82,7137446,4552389118,123494,5228816,73.26
INFY,EQ,30-Oct-18,644.75,641.1,663.8,637.45,658.9,659.6,657.39,8793411,5780678040,148842,5764870,65.56
INFY,EQ,31-Oct-18,659.6,663.9,692.95,663.05,685.95,686.4,681.52,11947995,8142844240,223319,7659197,64.1
INFY,EQ,1-Nov-18,686.4,689.7,689.7,659.6,667,666.7,671.01,5860244,3932276784,125725,3282959,56.02
INFY,EQ,2-Nov-18,666.7,665.95,675.8,660.1,663.2,662.25,665.4,6654067,4427642405,148487,3761960,56.54
,,Mean,665.0954545,663.3909091,673.5545455,651.8272727,661.7772727,661.1772727,,,,,,
,Close price,,,,,,,,,,,,,
,Mean Deviation,Mean Absolute Deviation,Mean Squared,,,,,,,,,,,
,22.37272727,22.37272727,500.5389256,,,,,,,,,,,
,18.77272727,18.77272727,352.4152893,,,,,,,,,,,
,-3.577272727,3.577272727,12.79688017,,,,,,,,,,,
,-11.37727273,11.37727273,129.4423347,,,,,,,,,,,
,-12.42727273,12.42727273,154.4371074,,,,,,,,,,,
,-27.57727273,27.57727273,760.5059711,,,,,,,,,,,
,-16.42727273,16.42727273,269.8552893,,,,,,,,,,,
,-1.577272727,1.577272727,2.487789256,,,,,,,,,,,
,25.22272727,25.22272727,636.1859711,,,,,,,,,,,
,5.522727273,5.522727273,30.50051653,,,,,,,,,,,
,1.072727273,1.072727273,1.150743802,,,,,,,,,,,
SUM,5.68434E-13,145.9272727,2850.316818,,,,,,,,,,,
,,Variance,259.1197107,,,,,,,,,,,
,,Standard Deviation,16.09719574,,,,,,,,,,,
