"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"JUBLFOOD","EQ","01-Mar-2018","       2034.00","       2039.95","       2047.30","       1995.65","       2006.10","       2005.85","       2017.76","     423544","           854611118.30","      16386","      87469","         20.65"
"JUBLFOOD","EQ","05-Mar-2018","       2005.85","       2005.00","       2018.90","       1975.25","       1998.50","       1997.60","       1996.90","     499605","           997661430.45","      24100","     102272","         20.47"
"JUBLFOOD","EQ","06-Mar-2018","       1997.60","       2006.00","       2040.95","       1972.20","       1979.60","       1989.25","       2016.46","     866691","          1747648476.25","      34685","     169855","         19.60"
"JUBLFOOD","EQ","07-Mar-2018","       1989.25","       1990.00","       2005.00","       1969.00","       1986.00","       1978.25","       1984.09","     499818","           991682070.90","      18435","      37079","          7.42"
"JUBLFOOD","EQ","08-Mar-2018","       1978.25","       1991.00","       2021.00","       1962.00","       2020.00","       2010.45","       1992.35","     503731","          1003606176.70","      19930","     111296","         22.09"
"JUBLFOOD","EQ","09-Mar-2018","       2010.45","       2020.00","       2080.00","       2010.00","       2060.30","       2060.30","       2052.73","    1376180","          2824925513.95","      56383","     239651","         17.41"
"JUBLFOOD","EQ","12-Mar-2018","       2060.30","       2090.00","       2098.00","       2061.40","       2075.00","       2084.05","       2081.90","     882266","          1836791265.30","      34503","     144761","         16.41"
"JUBLFOOD","EQ","13-Mar-2018","       2084.05","       2075.00","       2098.50","       2047.00","       2059.00","       2060.10","       2075.68","     524075","          1087811126.40","      24915","      79158","         15.10"
"JUBLFOOD","EQ","14-Mar-2018","       2060.10","       2047.00","       2086.20","       2045.30","       2083.00","       2078.95","       2064.90","     416793","           860635085.60","      18448","      70794","         16.99"
"JUBLFOOD","EQ","15-Mar-2018","       2078.95","       2091.00","       2160.00","       2085.25","       2159.95","       2147.10","       2131.85","    1520066","          3240547347.90","      60989","     428932","         28.22"
"JUBLFOOD","EQ","16-Mar-2018","       2147.10","       2151.00","       2170.00","       2100.20","       2119.05","       2111.65","       2136.08","     825718","          1763797234.55","      48321","     227609","         27.56"
"JUBLFOOD","EQ","19-Mar-2018","       2111.65","       2125.00","       2161.30","       2094.40","       2113.15","       2113.15","       2126.15","     988750","          2102234370.25","      35639","     144725","         14.64"
"JUBLFOOD","EQ","20-Mar-2018","       2113.15","       2103.00","       2133.85","       2091.50","       2129.00","       2121.80","       2119.57","     621810","          1317971075.20","      23277","     133078","         21.40"
"JUBLFOOD","EQ","21-Mar-2018","       2121.80","       2144.00","       2215.45","       2135.05","       2203.00","       2207.35","       2181.15","    1619899","          3533236639.70","      61853","     396775","         24.49"
"JUBLFOOD","EQ","22-Mar-2018","       2207.35","       2220.95","       2300.00","       2215.00","       2265.45","       2275.00","       2265.69","    3282766","          7437723412.70","     110586","     714374","         21.76"
"JUBLFOOD","EQ","23-Mar-2018","       2275.00","       2233.00","       2297.90","       2220.00","       2270.00","       2277.05","       2273.05","    1939420","          4408395773.00","      73850","     219740","         11.33"
"JUBLFOOD","EQ","26-Mar-2018","       2277.05","       2299.95","       2354.50","       2282.05","       2347.30","       2344.00","       2330.60","    2186647","          5096204553.60","      73213","     358190","         16.38"
"JUBLFOOD","EQ","27-Mar-2018","       2344.00","       2367.95","       2396.00","       2320.65","       2348.50","       2341.05","       2370.15","    1490655","          3533073576.35","      58458","     193012","         12.95"
"JUBLFOOD","EQ","28-Mar-2018","       2341.05","       2345.00","       2364.00","       2310.75","       2323.00","       2325.85","       2333.93","    1328797","          3101314965.90","      54211","     253213","         19.06"
"JUBLFOOD","EQ","02-Apr-2018","       2325.85","       2350.00","       2367.00","       2335.55","       2357.55","       2356.10","       2350.44","     484866","          1139649570.45","      22438","      66766","         13.77"
"JUBLFOOD","EQ","03-Apr-2018","       2356.10","       2368.00","       2379.95","       2302.20","       2329.95","       2329.15","       2329.46","     992288","          2311491171.65","      36315","     225367","         22.71"
"JUBLFOOD","EQ","04-Apr-2018","       2329.15","       2329.00","       2345.00","       2296.45","       2312.00","       2309.30","       2320.34","     708423","          1643780504.25","      26320","      96277","         13.59"
"JUBLFOOD","EQ","05-Apr-2018","       2309.30","       2330.00","       2343.85","       2315.00","       2339.85","       2335.35","       2328.92","     315803","           735481077.70","      11711","      49065","         15.54"
"JUBLFOOD","EQ","06-Apr-2018","       2335.35","       2335.00","       2437.60","       2322.55","       2427.00","       2430.35","       2401.21","    1888980","          4535838607.35","      62604","     201417","         10.66"
